event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
HTI4551,"07 September 2023",2023,1,"Political violence","Violence against civilians",Attack,"Belair Gang",,3,"Civilians (Haiti)",,7,37,"Civilian targeting",332,Caribbean,Haiti,Ouest,Port-au-Prince,,Port-au-Prince,18.5435,-72.3388,1,"Haiti Standard",National,"On 7 September 2023, in Port-au-Prince, Ouest, for the second consecutive day, members of the Belair Gang attacked residents and burned houses in the Solino neighbourhood. An unspecified number of civilians were killed and injured. Unknown fatalities coded as 3.",3,,1694459967
HTI4552,"07 September 2023",2023,1,"Strategic developments","Strategic developments",Other,"Civilians (Haiti)",,7,,,0,70,,332,Caribbean,Haiti,Ouest,Port-au-Prince,,Port-au-Prince,18.5435,-72.3388,1,Alterpresse,National,"Non-violent activity: On 7 September 2023, in Port-au-Prince, Ouest, residents set up barricades of tree branches, trucks, and other vehicles to block access to the Nazon neighbourhood. It happened as Belair gang members attacked civilians in the area the day before (coded separately).",0,,1694459967
HTI4541,"06 September 2023",2023,1,"Political violence",Battles,"Armed clash","Unidentified Gang (Haiti)",,3,"Police Forces of Haiti (2017-)",,1,13,,332,Caribbean,Haiti,Ouest,"Croix Des Bouquets",Thomazeau,Thomazeau,18.6521,-72.0938,1,"Le Nouvelliste",National,"On 6 September 2023, in Thomazeau, Ouest, unidentified gang members attacked a police station, forcing the officers to leave their posts. Casualties unknown.",0,,1694459967
HTI4550,"06 September 2023",2023,1,"Political violence",Battles,"Armed clash","Belair Gang",,3,"Police Forces of Haiti (2017-)",,1,13,,332,Caribbean,Haiti,Ouest,Port-au-Prince,,Port-au-Prince,18.5435,-72.3388,1,"Alterpresse; Haiti Press Network; Haiti Progress; Haiti Standard; Le Nouvelliste; Metropole; Rezo Nodwes",National,"On 6 September 2023, in Port-au-Prince, Ouest, members of the Belair Gang clashed with police forces as they attacked residents and burned houses in the Solino, Nazon, Bas Delmas, Delmas 24, Corridor Bastia, and Carrefour Pean neighbourhoods, among others. During clashes, a police officer and several gangsters were killed. An unspecified number of civilians were killed and injured. Among the fatal victims, there was an university teacher. At least 2 fatalities.",2,,1694459967
HTI4542,"05 September 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Haiti)",,6,,,0,60,,332,Caribbean,Haiti,Ouest,Leogane,"Petit Goave",Petit-Goave,18.4312,-72.8652,1,"Le Nouvelliste",National,"On 5 September 2023, in Petit-Goave, Ouest, residents held a protest to decry insecurity and demanding the resignation of national authorities.",0,"crowd size=no report",1694459967
HTI4549,"04 September 2023",2023,1,"Political violence",Battles,"Armed clash","Police Forces of Haiti (2017-)",,1,"Unidentified Gang (Haiti)",,3,13,,332,Caribbean,Haiti,Ouest,Port-au-Prince,,Port-au-Prince,18.5435,-72.3388,1,"Le Nouvelliste",National,"On 4 September 2023, in Port-au-Prince, Ouest, the police shot and killed several gangsters as security forces carried out an anti-gang operation in the Carrefour-Feuilles neighbourhood. Unknown fatalities coded as 3.",3,,1694459967
HTI4538,"02 September 2023",2023,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Palmiste Gang",,3,"Civilians (Haiti)",,7,37,"Civilian targeting",332,Caribbean,Haiti,Artibonite,Dessalines,"Petite Riviere de l'Artibonite","Petite Riviere de l'Artibonite",19.124,-72.4817,1,"Alterpresse; France Info",National-International,"On 2 September 2023, in Petite Riviere de l'Artibonite, Artibonite, members of the Palmiste Gang kidnapped around 20 civilians. According to one resident, the gangsters had a list with the names of the people who they had to abduct. The whereabouts of the victims are unknown.",0,,1694459967
HTI4539,"02 September 2023",2023,1,"Political violence","Violence against civilians",Attack,"Baz Gran Grif de Savien Gang",,3,"Civilians (Haiti)",,7,37,"Civilian targeting",332,Caribbean,Haiti,Artibonite,"Saint Marc",Verrettes,Liancourt,19.1263,-72.5409,1,"Alterpresse; France Info",National-International,"On 2 September 2023, in Liancourt, Artibonite, members of the Baz Gran Grif de Savien Gang fired shots, looted several houses, and kidnapped more than 30 people who travelled in a truck. The whereabouts of the victims are unknown. Casualties unknown.",0,,1694459967
HTI4548,"02 September 2023",2023,1,"Strategic developments","Strategic developments","Change to group/activity","Police Forces of Haiti (2017-)",,1,,,0,10,,332,Caribbean,Haiti,Ouest,Port-au-Prince,,Port-au-Prince,18.5435,-72.3388,1,"Alterpresse; Metropole; Rezo Nodwes",National,"Security measures: On 2 September 2023, in Port-au-Prince, Ouest, the Central Direction of the Administrative Police (DCPA) of the National Police of Haiti declared a state of emergency in the national territory until further notice. The measure was taken as a response to the threat of gang violence and insecurity in the country, and with the aim of mobilizing law enforcement agents and strengthening their presence on the ground.",0,,1694459967
HTI4554,"02 September 2023",2023,1,"Political violence",Battles,"Armed clash","Police Forces of Haiti (2017-)",,1,"Unidentified Gang (Haiti)",,3,13,,332,Caribbean,Haiti,Ouest,Port-au-Prince,,"Port-au-Prince - Delmas",18.5447,-72.3028,1,"Le Nouvelliste; PNH: National Police of Haiti; Rezo Nodwes",National,"On 2 September 2023, in Port-au-Prince - Delmas, Ouest, in the early morning, police forces shot and killed three gang members and injured another one during an intervention to thwart a kidnapping attempt, in Delmas 31. A vehicle and some weapons were seized. 3 fatalities, 1 injured.",3,,1694459967
