Age,Demographic,Cases
<1,Female,732
<1,Male,915
<1,Total,1647
1-4,Female,6068
1-4,Male,7327
1-4,Total,13395
5-9,Female,4385
5-9,Male,5100
5-9,Total,9485
10-14,Female,2347
10-14,Male,2650
10-14,Total,4997
15-19,Female,1955
15-19,Male,1810
15-19,Total,3765
20-29,Female,3946
20-29,Male,4516
20-29,Total,8462
30-39,Female,3158
30-39,Male,3987
30-39,Total,7145
40-49,Female,2351
40-49,Male,2997
40-49,Total,5348
50-59,Female,1973
50-59,Male,2079
50-59,Total,4052
60-69,Female,1539
60-69,Male,1440
60-69,Total,2979
70-79,Female,914
70-79,Male,870
70-79,Total,1784
80+,Female,417
80+,Male,329
80+,Total,746
