name,Phase 1,Phase 2,Phase 3,Phase 4
Artibonite,"395,148","403,714","466,771","223,347"
Carrefour,"102,998","102,998","102,998","34,333"
Centre,"230,357","194,977","212,280","69,986"
Cite Soleil,"76,825","96,031","134,443","76,825"
Croix des Bouquets,"19,501","19,501","27,302","11,701"
Delmas,"107,318","107,318","107,318","35,773"
Grand-Anse,"100,608","94,898","148,970","119,417"
Nippes,"97,702","105,597","89,806","32,567"
Nord,"284,084","255,901","194,800","63,355"
Nord-Est,"98,492","137,888","118,190","39,397"
Nord-Ouest,"182,276","165,771","182,276","77,264"
Ouest,"352,703","424,897","387,273","245,938"
Petion-Ville,"42,224","50,669","50,669","25,335"
Port au Prince,"238,865","238,865","286,638","191,092"
Sud,"230,856","235,586","248,748","92,033"
Sud-Est,"175,136","175,136","175,136","58,379"
Tabarre,"7,889","7,889","11,045","4,733"
